Artikeltyp;ExternalKey;Artikelname;ParentExternalKey
Einzelartikel;1021842;Blutorangen;
Einzelartikel;1020128;Blutorangen;
Einzelartikel;1020129;Blutorangen;
Einzelartikel;1022325;Clementinen zum Abholen;
Einzelartikel;1016909;Clementinen;
Einzelartikel;1020607;Clementinen;
Einzelartikel;1017784;Clementinen Ortanique;
Einzelartikel;1017785;Clementinen Ortanique;
Einzelartikel;1009527;Granatäpfel Ermioni;
Einzelartikel;1020655;Granatäpfel Ermioni;
Einzelartikel;1020656;Granatäpfel Ermioni;
Einzelartikel;1006952;Granatäpfel Ermioni;
Einzelartikel;1021905;Granatäpfel Acco;
Einzelartikel;1022198;Granatäpfel Acco;
Einzelartikel;1012330;Grapefruits;
Einzelartikel;1008114;Grapefruits;
Einzelartikel;1021675;Grapefruits;
Einzelartikel;1009827;Grapefruits;
Einzelartikel;1021674;Grapefruits;
Einzelartikel;1021983;Grapefruits;
Einzelartikel;1009537;Kiwi;
Einzelartikel;1013831;Kiwi;
Einzelartikel;1021904;Kiwi Hayward;
Einzelartikel;1021501;Kochbananen;
Einzelartikel;1021502;Kochbananen;
Einzelartikel;1019316;Kokosnüsse;
Einzelartikel;1010026;Kokosnüsse;
Einzelartikel;1017282;Kokosnüsse;
Einzelartikel;1020027;Kokosnüsse;
Einzelartikel;1021780;Kokosnüsse;
Einzelartikel;1021781;Kokosnüsse;
Einzelartikel;1020713;Kokosnüsse;
Einzelartikel;1020714;Kokosnüsse;
Einzelartikel;1022021;Limetten;
Einzelartikel;1021862;Limetten;
Einzelartikel;1022005;Mandarinen Nadorcott;
Einzelartikel;1007613;Mangos;
Einzelartikel;1006003;Mangos;
Einzelartikel;1021672;Mangos;
Einzelartikel;1021693;Mangos;
Einzelartikel;1021692;Mangos;
